age,sleep_cycle,exercise_habits,climate_zone,historical_cuisine_exposure,preferred_taste
,Night Owl,Light,Cold,Mixed,Sweet
,Irregular,Moderate,,Mixed,Salty
36,,Light,Temperate,Asian,Sweet
32,Early Bird,Heavy,Tropical,Asian,Sweet
,,Light,Cold,Mediterranean,Sour
,Early Bird,Moderate,,Asian,Sweet
25,Night Owl,Moderate,Temperate,Mixed,Sweet
60,Early Bird,Moderate,Tropical,Mixed,Sour
26,Irregular,Heavy,Tropical,Mixed,Sweet
64,Night Owl,Moderate,Cold,Mediterranean,Sour
50,Night Owl,Moderate,Temperate,Mediterranean,Sour
50,Night Owl,Heavy,Dry,Asian,Sweet
36,Night Owl,Moderate,Temperate,Mixed,Sour
20,Irregular,Moderate,Temperate,Mediterranean,Sour
27,Irregular,Heavy,Dry,Mediterranean,Sour
57,Early Bird,Light,Tropical,,Sweet
,Night Owl,Moderate,Cold,Mixed,Sour
59,Early Bird,Light,Tropical,Mixed,Sweet
18,Irregular,Heavy,Tropical,Asian,Sweet
46,Night Owl,,Dry,Asian,Sweet
67,Irregular,Moderate,Dry,Asian,Sour
,Early Bird,Heavy,Tropical,Asian,Sweet
68,Irregular,,Temperate,Mixed,Salty
30,Night Owl,Light,Cold,Mixed,Sweet
18,,Light,Temperate,Asian,Spicy
51,Early Bird,,Tropical,Mediterranean,Sour
46,Night Owl,Moderate,Tropical,Mediterranean,Sweet
65,Irregular,Moderate,Cold,Mixed,Salty
64,Irregular,Heavy,Temperate,Mixed,Salty
30,Irregular,Light,Tropical,Asian,Spicy
65,Irregular,Light,Tropical,Mediterranean,Sweet
66,Early Bird,Heavy,Dry,Mixed,Salty
46,Irregular,Moderate,Cold,,Salty
56,Early Bird,Light,Dry,Asian,Sweet
41,Irregular,Moderate,Dry,Mixed,Salty
,Early Bird,Light,Dry,Mixed,Sour
34,Irregular,Moderate,Tropical,Mediterranean,Sour
24,Irregular,Light,Temperate,Mediterranean,Sweet
30,Early Bird,,Dry,Mixed,Sour
22,Night Owl,Heavy,Temperate,Mediterranean,Sweet
43,Night Owl,Light,Tropical,Mediterranean,Sweet
66,Night Owl,Heavy,Dry,Asian,Sweet
20,Early Bird,Light,Tropical,,Sweet
24,Night Owl,Light,Dry,Mixed,Sweet
66,Night Owl,Light,Dry,Asian,Sweet
56,Early Bird,Moderate,Tropical,Mixed,Sour
18,Night Owl,Light,Cold,Asian,Spicy
66,Night Owl,Heavy,Cold,Asian,Sweet
34,Night Owl,Moderate,Temperate,Mediterranean,Sour
60,Early Bird,Moderate,Temperate,Mediterranean,Salty
42,Early Bird,Light,Tropical,Mixed,Sweet
20,Night Owl,Moderate,Tropical,Mediterranean,Sweet
,,Light,Tropical,Asian,Spicy
46,Early Bird,Heavy,,Mediterranean,Salty
60,Night Owl,Moderate,Cold,Mixed,Sour
49,Early Bird,Moderate,Dry,Asian,Sour
,Night Owl,Heavy,,Mixed,Sour
,Early Bird,Heavy,,Mediterranean,Sour
42,Irregular,Light,Tropical,Asian,Sweet
45,Irregular,Moderate,Temperate,Mixed,Salty
,Early Bird,Heavy,Cold,Mediterranean,Sour
18,Irregular,Moderate,Tropical,Mediterranean,Sweet
46,Night Owl,Heavy,Cold,Mixed,Sour
39,Early Bird,Moderate,Tropical,Asian,Sweet
33,Early Bird,,Dry,Mixed,Salty
58,Night Owl,Moderate,Tropical,Mediterranean,Sweet
68,Night Owl,Light,,Mixed,Sweet
61,Early Bird,Moderate,Temperate,Mediterranean,Salty
68,,Light,Temperate,Asian,Sweet
58,Early Bird,Light,Temperate,Mixed,Sour
24,Night Owl,Light,Tropical,Asian,Spicy
31,Early Bird,Moderate,Temperate,Mixed,Salty
46,Night Owl,Moderate,Tropical,Mediterranean,Sweet
36,Night Owl,Light,Cold,Asian,Sweet
36,Irregular,Heavy,Dry,Mediterranean,Salty
19,Irregular,Moderate,Cold,Mixed,Sour
58,Irregular,Moderate,Tropical,Mediterranean,Sour
62,Night Owl,Moderate,Temperate,Mixed,Sour
32,Early Bird,Moderate,Dry,Asian,Sour
,Night Owl,Light,Temperate,Mediterranean,Sweet
28,Irregular,Heavy,Cold,Mediterranean,Sour
63,Night Owl,Heavy,Tropical,Mixed,Sweet
47,Irregular,Heavy,Dry,Mixed,Salty
57,Irregular,Heavy,Dry,,Salty
35,Early Bird,Light,Tropical,Asian,Sweet
68,Early Bird,Moderate,Tropical,Mediterranean,Sour
65,Irregular,Moderate,Dry,Mixed,Salty
19,Irregular,Light,Cold,Mixed,Sweet
49,Night Owl,Moderate,Cold,Mediterranean,Sour
25,Irregular,Light,Temperate,Asian,Sweet
39,Night Owl,Heavy,Dry,Mediterranean,Sour
23,Irregular,Light,Tropical,,Sweet
29,Early Bird,Moderate,Tropical,Mediterranean,Sweet
64,,Moderate,Tropical,Mixed,Sour
57,Irregular,Moderate,Tropical,Mixed,Sour
53,Night Owl,Heavy,Dry,Mediterranean,Sour
32,,Light,Cold,Mediterranean,Sweet
45,Night Owl,Light,Temperate,Asian,Sweet
69,Irregular,Moderate,Cold,Mixed,Salty
,Irregular,Light,Temperate,Mixed,Sour
62,Early Bird,Moderate,Tropical,Mixed,Sour
35,Early Bird,Light,Tropical,Mixed,Sweet
,,Heavy,Dry,Mixed,Sour
30,Early Bird,Heavy,Tropical,Mediterranean,Sweet
62,,Light,Dry,Mixed,Sweet
32,Night Owl,Heavy,Dry,Mediterranean,Sour
37,Irregular,,Dry,Asian,Sour
46,Night Owl,Heavy,Tropical,Mixed,Sweet
59,Irregular,Moderate,Tropical,Asian,Sweet
46,Night Owl,Light,,,Sweet
20,Irregular,Light,Temperate,Mediterranean,Sweet
36,Night Owl,Moderate,Cold,Asian,Sweet
20,Night Owl,Moderate,Tropical,,Sweet
31,Early Bird,Heavy,Temperate,Mediterranean,Salty
57,Early Bird,Light,Dry,Mediterranean,Sour
21,Early Bird,Moderate,Temperate,Mediterranean,Sour
,Early Bird,,Dry,Mediterranean,Salty
28,Early Bird,,Tropical,Mediterranean,Sweet
48,Early Bird,,Temperate,Mediterranean,Salty
60,Irregular,Light,Dry,Asian,Sweet
49,Irregular,Heavy,Cold,Mixed,Salty
44,Early Bird,,Cold,Mixed,Sour
47,Irregular,Light,Dry,Mixed,Sour
,Early Bird,Light,Cold,Mixed,Sour
19,,Light,Cold,Asian,Sweet
66,Night Owl,Heavy,Temperate,Asian,Sweet
26,Irregular,,Cold,Mixed,Sour
45,Irregular,Light,Temperate,Mediterranean,Sour
48,Irregular,Light,,Mixed,Sweet
51,Night Owl,Light,Cold,Mediterranean,Sweet
32,Early Bird,Light,Tropical,Mediterranean,Sweet
65,Irregular,Heavy,Cold,Asian,Sour
42,Irregular,Moderate,Dry,Mediterranean,Salty
53,Night Owl,Moderate,Dry,Asian,Sweet
25,,Moderate,Tropical,Mixed,Sweet
26,,Heavy,Tropical,Asian,Sweet
54,Night Owl,Moderate,Tropical,Mediterranean,Sweet
65,Early Bird,Heavy,Dry,Mediterranean,Salty
62,Early Bird,Heavy,Tropical,,Sour
56,Irregular,Light,Dry,Mixed,Sour
49,Irregular,Heavy,Tropical,Asian,Sweet
69,Irregular,Moderate,Temperate,Mixed,Salty
34,Irregular,,Temperate,Asian,Sour
,Night Owl,Moderate,Cold,Mixed,Sour
54,Night Owl,,Temperate,Mixed,Sweet
,Irregular,Light,Tropical,Mediterranean,Sweet
61,Early Bird,Light,Temperate,Mixed,Sour
46,Irregular,Heavy,Temperate,Mixed,Salty
24,Early Bird,Moderate,Tropical,Asian,Sweet
45,Early Bird,Heavy,Temperate,,Salty
26,Early Bird,Heavy,Tropical,Mediterranean,Sweet
45,Night Owl,Moderate,Temperate,Mixed,Sour
23,Early Bird,Light,Tropical,Asian,Spicy
46,Early Bird,Moderate,Dry,Asian,Sour
34,Night Owl,Heavy,Dry,Mixed,Sour
33,Early Bird,Heavy,Cold,Mixed,Salty
40,Early Bird,Light,Temperate,Asian,Sweet
48,Irregular,Heavy,Cold,Mediterranean,Salty
20,Early Bird,Heavy,Tropical,Mixed,Sweet
38,Early Bird,Moderate,Dry,Mediterranean,Salty
43,,Light,Tropical,Mediterranean,Sweet
53,Early Bird,Moderate,Cold,Mixed,Salty
59,Early Bird,Moderate,Tropical,Mediterranean,Sour
54,Night Owl,Moderate,Tropical,Asian,Sweet
39,Early Bird,Heavy,Tropical,Mediterranean,Sour
59,Early Bird,Heavy,Tropical,Asian,Sweet
,Night Owl,Light,Dry,Mixed,Sweet
59,,Heavy,Tropical,Mediterranean,Sweet
30,Early Bird,Light,Tropical,Asian,Spicy
28,Early Bird,Moderate,Dry,Asian,Sweet
33,Early Bird,Moderate,Tropical,Mixed,Sour
25,Irregular,Heavy,Tropical,Mediterranean,Sweet
57,Irregular,Heavy,Cold,Asian,Sour
57,Early Bird,Light,Dry,Asian,Sweet
62,Night Owl,,Temperate,,Sour
19,Early Bird,Heavy,Tropical,Mediterranean,Sweet
47,Night Owl,Heavy,Cold,Mediterranean,Sour
47,Night Owl,Moderate,Dry,Asian,Sweet
29,Night Owl,Heavy,Tropical,Mediterranean,Sweet
27,Early Bird,Heavy,Temperate,Mediterranean,Sour
61,Early Bird,Moderate,Tropical,Mediterranean,Sour
28,Night Owl,Moderate,Cold,Mediterranean,Sweet
32,Irregular,Moderate,Dry,Mediterranean,Salty
33,Irregular,Moderate,Cold,Mediterranean,Salty
34,Irregular,Heavy,Dry,Mediterranean,Salty
43,Night Owl,Heavy,Temperate,Asian,Sweet
,Early Bird,Heavy,,Asian,Sweet
67,Night Owl,Light,Cold,Mediterranean,Sweet
29,Irregular,Moderate,Temperate,,Sour
68,Early Bird,,Temperate,Mixed,Salty
43,Night Owl,Heavy,Tropical,Asian,Sweet
40,Night Owl,Heavy,Cold,Mixed,Sour
35,Irregular,Moderate,Tropical,Asian,Sweet
49,Night Owl,Moderate,Tropical,Mixed,Sweet
66,,Moderate,Dry,Mixed,Salty
,Irregular,Heavy,Dry,Mixed,Salty
64,Irregular,Moderate,Tropical,Asian,Sweet
,Early Bird,Heavy,Dry,Asian,Sweet
55,Irregular,Light,Cold,Mediterranean,Sour
20,Night Owl,Moderate,Dry,Asian,Sweet
47,Night Owl,Moderate,Temperate,Asian,Sweet
18,Irregular,,Tropical,Asian,Sweet
47,Early Bird,Moderate,Tropical,Asian,Sweet
62,Night Owl,Moderate,Cold,Mediterranean,Sour
49,Early Bird,Heavy,Tropical,Mediterranean,Sour
45,Night Owl,Heavy,Dry,Asian,Sweet
,Night Owl,Heavy,Temperate,Mixed,Sour
63,Irregular,Light,Tropical,Mixed,Sweet
30,Irregular,Heavy,Dry,Asian,Sweet
44,Early Bird,Moderate,Temperate,Mediterranean,Salty
,Irregular,Light,Tropical,Mixed,Sweet
24,Night Owl,Heavy,Tropical,Mediterranean,Sweet
39,Night Owl,,Tropical,Mediterranean,Sweet
27,Early Bird,Light,Temperate,Mixed,Sweet
56,Early Bird,Moderate,Tropical,Asian,Sweet
32,,,Tropical,Mediterranean,Sweet
32,Irregular,Heavy,Dry,Mixed,Salty
21,Irregular,Light,Dry,Mediterranean,Sweet
49,Early Bird,,Dry,Mixed,Sour
40,Early Bird,Moderate,Dry,,Sour
23,Night Owl,Moderate,,Asian,Spicy
41,Night Owl,Heavy,Temperate,Asian,Sweet
37,Early Bird,Moderate,Tropical,Mediterranean,Sour
54,Night Owl,Heavy,Cold,Asian,Sweet
37,,Heavy,Temperate,Asian,Sour
29,Early Bird,Moderate,,Asian,Sweet
50,Irregular,Light,Tropical,Asian,Sweet
45,,Moderate,Temperate,Mixed,Salty
25,Night Owl,,Temperate,Mixed,Sweet
18,Irregular,Light,Dry,Mediterranean,Sweet
54,Irregular,Heavy,Tropical,Mixed,Sour
39,Night Owl,Heavy,,Mixed,Sour
23,Night Owl,Moderate,Temperate,Mixed,Sweet
38,Night Owl,Light,Temperate,Mixed,Sweet
49,Early Bird,Moderate,Dry,Mixed,Salty
52,Irregular,Heavy,Temperate,Asian,Sour
32,Early Bird,Light,Dry,Mediterranean,Sour
22,Early Bird,Moderate,Temperate,Mixed,Sour
63,Early Bird,,Temperate,Mixed,Salty
,Early Bird,Heavy,Tropical,Mediterranean,Sour
65,Irregular,Heavy,Temperate,Mixed,Salty
,Irregular,Heavy,Dry,Mixed,Sour
42,Early Bird,Heavy,Dry,Mediterranean,Salty
63,Night Owl,Moderate,Dry,Asian,Sweet
,Irregular,Heavy,Cold,Asian,Sour
46,Early Bird,Heavy,Temperate,Mediterranean,Salty
,Night Owl,Moderate,Tropical,Asian,Spicy
57,Night Owl,Moderate,Tropical,Asian,Sweet
30,Early Bird,Light,Cold,Asian,Sweet
55,Irregular,Moderate,Temperate,Asian,Sour
,Night Owl,Light,Dry,Mixed,Sweet
19,Irregular,Heavy,Cold,Mediterranean,Sour
25,Irregular,Light,Cold,Asian,Sweet
28,Night Owl,Light,Dry,,Spicy
50,Early Bird,Heavy,Cold,Mediterranean,Salty
,Night Owl,Heavy,Cold,Mixed,Sour
65,Night Owl,Heavy,Dry,Asian,Sweet
44,Irregular,Light,Temperate,Asian,Sweet
37,Early Bird,Moderate,Tropical,Mixed,Sour
29,Irregular,Moderate,Tropical,Mediterranean,Sweet
60,Night Owl,Moderate,Dry,Asian,Sweet
48,Early Bird,Heavy,Dry,Asian,Sour
44,Early Bird,,,Mediterranean,Salty
49,Early Bird,Moderate,Cold,,Salty
27,Early Bird,Heavy,Temperate,Mediterranean,Sour
20,Early Bird,Light,Cold,,Sweet
62,Night Owl,Light,Cold,Mixed,Sweet
44,Night Owl,Heavy,Temperate,Mixed,Sour
52,Night Owl,,Dry,Mixed,Sour
48,Irregular,Moderate,Dry,Mediterranean,Salty
32,Early Bird,Light,Temperate,Mediterranean,Sour
33,Early Bird,Heavy,Cold,Mediterranean,Salty
30,Night Owl,Moderate,Cold,Asian,Sweet
66,,Moderate,Cold,Mediterranean,Salty
,Irregular,Heavy,Cold,Mixed,Salty
69,,Heavy,Temperate,Asian,Sour
28,Early Bird,Moderate,Tropical,Asian,Sweet
38,Irregular,Heavy,,Asian,Sour
68,Night Owl,Heavy,Dry,Mixed,Sour
28,Night Owl,Heavy,Tropical,Mediterranean,Sweet
47,Early Bird,Moderate,Cold,Mixed,Salty
65,Irregular,Light,Tropical,Mediterranean,Sweet
52,Night Owl,Heavy,Tropical,Asian,Sweet
39,Night Owl,Moderate,Tropical,Asian,Sweet
55,Night Owl,Light,Dry,Mixed,Sweet
48,Early Bird,Moderate,Dry,Mediterranean,Salty
31,Irregular,Moderate,Tropical,Asian,Sweet
41,Early Bird,Moderate,Tropical,Mixed,Sour
67,Night Owl,Light,Tropical,Mixed,Sweet
66,Irregular,Moderate,Cold,Mediterranean,Salty
49,Early Bird,Light,Cold,Mediterranean,Sour
53,Night Owl,Heavy,,Mediterranean,Sour
49,Night Owl,Light,,Asian,Sweet
32,Early Bird,,Temperate,Mixed,Salty
60,Night Owl,Light,Tropical,Mediterranean,Sweet
,Night Owl,Moderate,Tropical,Mixed,Sweet
,Irregular,Heavy,Temperate,Asian,Sweet
33,Night Owl,Light,Tropical,Asian,Spicy
22,Early Bird,Heavy,Cold,Mediterranean,Sour
38,Irregular,Light,Cold,Asian,Sweet
27,Early Bird,Moderate,Temperate,Mixed,Sour
36,Night Owl,Light,Cold,Mixed,Sweet
42,Irregular,Heavy,Temperate,Asian,Sour
21,Irregular,Light,Cold,Asian,Sweet
46,Irregular,Heavy,Tropical,Asian,Sweet
36,Irregular,Heavy,Dry,,Salty
60,Early Bird,Moderate,Cold,Asian,Sour
19,Night Owl,Light,Temperate,Mediterranean,Sweet
27,Night Owl,,Dry,,Sweet
60,Irregular,Moderate,Tropical,,Sour
,Night Owl,Moderate,Dry,Asian,Sweet
37,Early Bird,Moderate,Temperate,Asian,Sour
65,Night Owl,Heavy,Tropical,Asian,Sweet
36,Early Bird,Light,Tropical,Mediterranean,Sweet
40,Early Bird,Heavy,Cold,Mediterranean,Salty
41,Night Owl,Moderate,Dry,Mediterranean,Sour
28,Early Bird,Heavy,Cold,Mediterranean,Sour
63,Early Bird,Heavy,Tropical,Mediterranean,Sour
,Early Bird,Moderate,Cold,Mixed,Salty
45,Early Bird,,Cold,Mixed,Sour
22,Irregular,Moderate,Temperate,Asian,Sweet
22,Night Owl,Moderate,Cold,Asian,Sweet
68,Irregular,Heavy,Tropical,Mediterranean,Sour
38,Early Bird,Moderate,Cold,Asian,Sour
29,Night Owl,Heavy,,Mixed,Sweet
67,Early Bird,Moderate,Tropical,Mixed,Sour
21,Night Owl,Moderate,Temperate,Asian,Sweet
66,Irregular,Light,Tropical,Mediterranean,Sweet
59,Night Owl,Moderate,Tropical,Mixed,Sweet
,Early Bird,Light,Temperate,Asian,Sweet
55,,Moderate,Tropical,Mediterranean,Sweet
42,Night Owl,Moderate,Temperate,Asian,Sweet
31,Irregular,Moderate,Dry,Mediterranean,Salty
,Early Bird,Light,Dry,,Sweet
49,Night Owl,Heavy,,Mixed,Sour
28,Irregular,Light,Tropical,Mixed,Sweet
35,Night Owl,Moderate,Cold,Asian,Sweet
44,Early Bird,Heavy,Temperate,Asian,Sour
35,Night Owl,Moderate,Dry,Mediterranean,Sour
40,,Light,Temperate,Mixed,Sweet
28,Night Owl,Light,Dry,Mediterranean,Sweet
,Night Owl,Heavy,Dry,Mediterranean,Sour
61,Early Bird,Light,Tropical,Mediterranean,Sweet
22,Irregular,Moderate,Temperate,Mediterranean,Sour
40,Irregular,Heavy,Tropical,Mediterranean,Sour
,Night Owl,Moderate,,Mediterranean,Sour
,Early Bird,Heavy,Temperate,Asian,Sour
58,Early Bird,Heavy,Cold,Mixed,Salty
27,Early Bird,Moderate,,Mixed,Sour
39,Early Bird,Light,Tropical,Mediterranean,Sweet
,Early Bird,Moderate,Cold,Mediterranean,Salty
18,Early Bird,Light,Temperate,,Sweet
24,Night Owl,Light,Dry,Mixed,Sweet
21,Irregular,Moderate,Tropical,Mixed,Sweet
18,Irregular,Heavy,Cold,Mediterranean,Sour
32,Night Owl,Moderate,Temperate,Mixed,Sour
57,Irregular,Heavy,Cold,Mediterranean,Salty
29,,Light,Temperate,Mediterranean,Sweet
,Early Bird,Heavy,Temperate,Mediterranean,Salty
39,Irregular,Moderate,Dry,Asian,Sour
67,Early Bird,Heavy,Tropical,Mixed,Sour
64,Early Bird,,Dry,Mixed,Sour
,Irregular,Light,Tropical,Mixed,Sweet
,,Heavy,,Mediterranean,Sweet
63,Irregular,Light,Temperate,Asian,Sweet
31,,Light,Cold,Mediterranean,Sour
67,Irregular,Heavy,Tropical,Mediterranean,Sour
37,Irregular,Light,Tropical,Mediterranean,Sweet
67,Night Owl,Heavy,Tropical,Asian,Sweet
65,Night Owl,Heavy,Tropical,Mediterranean,Sweet
50,Early Bird,Light,Temperate,Mediterranean,Sour
60,Early Bird,Heavy,Dry,Asian,Sour
32,Irregular,Light,Cold,Mediterranean,Sour
29,Early Bird,Light,Temperate,Mediterranean,Sweet
57,Night Owl,Light,Temperate,Mixed,Sweet
,Early Bird,Moderate,Temperate,Asian,Sour
47,Early Bird,Light,Tropical,Mixed,Sweet
55,Early Bird,Heavy,Cold,Mediterranean,Salty
20,Irregular,Heavy,Temperate,Asian,Sweet
45,Early Bird,Heavy,,Asian,Sour
43,Night Owl,Moderate,,Mediterranean,Sour
47,Night Owl,Moderate,Tropical,Mixed,Sweet
30,Night Owl,Heavy,Tropical,Mediterranean,Sweet
30,Night Owl,Heavy,Temperate,Asian,Sweet
19,,,Tropical,,Sweet
54,Irregular,Heavy,Cold,Mediterranean,Salty
66,Night Owl,Light,Tropical,Mediterranean,Sweet
55,Night Owl,,Temperate,Mediterranean,Sweet
19,Irregular,Heavy,Cold,Mediterranean,Sour
53,Irregular,Light,Tropical,Mixed,Sweet
43,Night Owl,Heavy,Temperate,Mixed,Sour
28,Night Owl,Moderate,Dry,Mixed,Sweet
25,Irregular,Heavy,,Mixed,Sour
,Night Owl,Moderate,Cold,Asian,Sweet
57,Night Owl,Light,Cold,Asian,Sweet
,Early Bird,Light,Cold,Mixed,Sour
39,Irregular,Light,Tropical,Mediterranean,Sweet
37,Early Bird,Heavy,Cold,Asian,Sour
25,Early Bird,Moderate,Tropical,Mediterranean,Sweet
46,Irregular,Moderate,Temperate,Mixed,Salty
,Early Bird,Light,Tropical,Asian,Sweet
43,Night Owl,Light,Tropical,Asian,Spicy
47,Early Bird,Moderate,Temperate,Asian,Sour
34,Irregular,Heavy,Dry,Asian,Sour
,Night Owl,Light,Tropical,Mixed,Sweet
69,,Heavy,Tropical,Asian,Sweet
33,Night Owl,Light,Temperate,Mixed,Sweet
63,Night Owl,Light,Cold,Asian,Sweet
60,Early Bird,Heavy,Temperate,Mixed,Salty
24,Early Bird,Heavy,Dry,Mixed,Sour
33,Night Owl,Heavy,Cold,Mediterranean,Sour
62,Irregular,,Dry,Mixed,Salty
64,Night Owl,Moderate,Tropical,Mediterranean,Sweet
65,Early Bird,Moderate,Dry,Asian,Sour
44,Night Owl,Light,Dry,Mediterranean,Sweet
40,Early Bird,Light,Temperate,Mixed,Sour
41,,Light,Cold,,Sweet
26,Irregular,Moderate,Tropical,Asian,Sweet
52,Night Owl,Heavy,,Mediterranean,Sweet
68,Irregular,Light,Tropical,,Sweet
37,,Moderate,Cold,Mixed,Salty
54,Night Owl,Light,Cold,Asian,Sweet
59,Irregular,Moderate,Dry,Asian,Sour
34,Irregular,Heavy,Dry,Mediterranean,Salty
64,Early Bird,Moderate,Cold,Asian,Sour
,Early Bird,Heavy,Tropical,Mixed,Sour
25,Irregular,Light,,Mediterranean,Sweet
32,Night Owl,Heavy,Temperate,Mediterranean,Sour
48,Irregular,Moderate,Cold,Mediterranean,Salty
47,Night Owl,Light,Cold,Mediterranean,Sweet
63,Early Bird,Light,Tropical,Asian,Sweet
37,Night Owl,Moderate,Dry,Mediterranean,Sour
56,Irregular,Heavy,Temperate,Mediterranean,Salty
29,Irregular,Moderate,Temperate,Mediterranean,Sour
66,Irregular,Heavy,Temperate,Mixed,Salty
34,Irregular,Heavy,Cold,Mixed,Salty
59,Irregular,Light,Tropical,Asian,Sweet
47,Night Owl,Heavy,Cold,Mixed,Sour
,Irregular,Light,Dry,,Sour
36,Early Bird,Moderate,Tropical,Asian,Sweet
63,Irregular,Moderate,Temperate,Asian,Sour
,Night Owl,Light,Cold,Mediterranean,Sweet
51,Irregular,Light,Tropical,Mediterranean,Sweet
67,Irregular,Heavy,Cold,Asian,Sour
24,Night Owl,Light,Tropical,Mediterranean,Spicy
61,Irregular,Moderate,Temperate,Mediterranean,Salty
51,Night Owl,Light,Dry,Mediterranean,Sweet
37,Irregular,Light,Dry,Asian,Sweet
67,Early Bird,Light,,Mixed,Sour
55,Irregular,,Temperate,,Salty
41,Night Owl,Light,Cold,Asian,Sweet
27,Early Bird,Heavy,Cold,Asian,Sweet
49,Night Owl,Heavy,Tropical,Mediterranean,Sweet
69,Irregular,Light,Tropical,Asian,Sweet
,Early Bird,Heavy,Tropical,Asian,Sweet
54,Night Owl,,Temperate,Asian,Sweet
37,Early Bird,Moderate,Temperate,Asian,Sour
20,Early Bird,Moderate,Cold,Mediterranean,Sour
54,Night Owl,Heavy,Tropical,Mediterranean,Sweet
57,Early Bird,Moderate,Temperate,Asian,Sour
25,Night Owl,Light,Cold,Asian,Spicy
,Early Bird,Heavy,Temperate,Mixed,Salty
61,,Light,Cold,Mixed,Sour
40,Early Bird,,Dry,Asian,Sour
57,Irregular,Heavy,Tropical,,Sour
28,Irregular,Heavy,Dry,Mixed,Sour
63,Night Owl,,Cold,,Sour
25,Early Bird,Moderate,Cold,Mediterranean,Sour
46,Night Owl,Moderate,Tropical,Mediterranean,Sweet
47,Irregular,Moderate,Tropical,Mixed,Sour
27,Irregular,Heavy,,Asian,Sweet
56,Irregular,Moderate,Temperate,Mediterranean,Salty
45,Irregular,Heavy,Tropical,Mixed,Sour
66,Night Owl,Moderate,Cold,,Sweet
53,Early Bird,Heavy,Tropical,Mediterranean,Sour
30,Night Owl,Moderate,Tropical,Mixed,Sweet
49,Early Bird,Moderate,Dry,Mediterranean,Salty
53,Irregular,,Dry,,Salty
54,Early Bird,Heavy,,Mediterranean,Salty
43,Irregular,Heavy,Tropical,,Sour
39,Night Owl,,Cold,Asian,Sweet
21,Early Bird,Heavy,Cold,Mediterranean,Sour
48,Night Owl,Light,Tropical,Mediterranean,Sweet
35,Irregular,,Tropical,Mixed,Sour
55,Night Owl,Moderate,,Asian,Sweet
41,Irregular,Light,Temperate,Asian,Sweet
40,Irregular,Heavy,Temperate,Mediterranean,Salty
39,Irregular,Heavy,Cold,,Salty
19,Night Owl,Heavy,Dry,Mediterranean,Sweet
48,Night Owl,Moderate,Temperate,Mixed,Sour
28,,Moderate,Cold,Asian,Sweet
45,Early Bird,Moderate,Temperate,Mediterranean,Salty
,Night Owl,,Cold,Mixed,Sour
49,Night Owl,,Tropical,Asian,Sweet
,Night Owl,Heavy,Cold,Mixed,Sweet
55,Night Owl,Light,Tropical,Mediterranean,Sweet
27,,Heavy,Cold,Mixed,Sour
57,,Heavy,Dry,Mediterranean,Salty
63,Irregular,Moderate,Cold,Asian,Sour
41,Night Owl,Light,Tropical,Mixed,Sweet
52,Irregular,Light,Dry,Asian,Sweet
,Irregular,Heavy,Cold,Asian,Sour
65,Early Bird,Light,Cold,Mediterranean,Sour
40,Early Bird,Heavy,Temperate,Mediterranean,Salty
34,Irregular,Heavy,Dry,Asian,Sour
18,Irregular,Heavy,Tropical,Mediterranean,Sweet
48,Irregular,Heavy,Dry,Asian,Sour
48,Night Owl,Moderate,Tropical,Mediterranean,Sweet
59,Early Bird,Light,Temperate,Mediterranean,Sour
59,Early Bird,Moderate,Temperate,Mixed,Salty
51,Early Bird,,Tropical,Mixed,Sour
26,Irregular,Moderate,Tropical,Mediterranean,Sweet
39,Night Owl,Heavy,Tropical,Asian,Sweet
30,Early Bird,Heavy,Temperate,Asian,Sweet
42,Early Bird,Moderate,Dry,Asian,Sour
65,Night Owl,Moderate,Temperate,Mediterranean,Sour
35,Irregular,Light,Cold,Mediterranean,Sour
68,Irregular,,Temperate,,Sour
29,Early Bird,,Cold,Mixed,Sour
57,Early Bird,Moderate,Cold,Mixed,Salty
34,Night Owl,Light,Temperate,Asian,Sweet
32,Early Bird,Light,Temperate,Mediterranean,Sour
59,Night Owl,Moderate,Temperate,Mediterranean,Sour
32,Early Bird,Light,Dry,Asian,Sweet
32,Early Bird,Light,Temperate,Mixed,Sour
56,Early Bird,Heavy,Tropical,Asian,Sweet
30,Irregular,Light,Temperate,,Sweet
34,Night Owl,Light,Cold,Asian,Sweet
49,Night Owl,Moderate,Dry,Mixed,Sour
26,,Heavy,Dry,Asian,Sweet
57,Irregular,Light,Cold,Mixed,Sour
37,Irregular,Moderate,Dry,Mediterranean,Salty
43,Night Owl,Moderate,Dry,Mixed,Sour
44,,Moderate,Tropical,Mixed,Sour
,Irregular,Moderate,Tropical,Asian,Sweet
35,Irregular,Moderate,Dry,Mediterranean,Salty
30,Irregular,Moderate,Temperate,Asian,Sweet
,Early Bird,Light,Dry,Mixed,Sour
26,Early Bird,Heavy,Tropical,Mixed,Sweet
29,,Heavy,Dry,Asian,Sweet
,Early Bird,Moderate,Temperate,Mediterranean,Salty
55,Irregular,,Temperate,Mixed,Salty
36,Early Bird,Heavy,Tropical,Mixed,Sour
24,Night Owl,Light,Dry,Mixed,Sweet
52,Night Owl,Moderate,,Mediterranean,Sweet
65,Early Bird,Heavy,Cold,Asian,Sour
35,Night Owl,Heavy,Tropical,Mediterranean,Sweet
33,Night Owl,Moderate,Tropical,,Sweet
56,Night Owl,Heavy,Tropical,Mixed,Sweet
21,Irregular,Light,Dry,Mediterranean,Sweet
